,EMD_NM,건물노후도점수,지상층수점수,지하층수점수,주용도점수,구조점수,비상용승강기점수,소방서거리점수,소방용수시설거리점수
134,신당동,3.003260869565217,1.0972826086956522,0.21956521739130436,3.5907608695652176,1.6146739130434782,4.984239130434783,1.8744565217391305,2.827717391304348
135,신매동,3.0416666666666665,1.3356481481481481,0.27662037037037035,3.0358796296296298,1.1990740740740742,4.921296296296297,1.2638888888888888,2.5613425925925926
136,신무동,3.103896103896104,0.9935064935064936,0.14285714285714285,2.8181818181818183,2.896103896103896,5.0,3.0194805194805197,4.564935064935065
137,신서동,2.652591170825336,1.2773512476007678,0.19865642994241842,3.0,0.6727447216890595,4.911708253358925,2.137236084452975,3.2994241842610363
138,신암동,3.9541248277219925,1.1232526087812562,0.2640283520378027,2.712541838944674,2.7340027564481195,4.938176806457964,1.3971254183894468,2.90431187241583
139,신용동,3.2993197278911564,1.0,0.05442176870748299,2.5850340136054424,3.306122448979592,5.0,3.6598639455782314,4.5646258503401365
140,신천동,4.119904790241,1.173460279678667,0.3725081820886641,2.9964296340374887,2.5578696816423685,4.940493900624814,1.5397203213329367,2.707229991074085
141,신평동,3.36996336996337,1.031135531135531,0.09706959706959707,3.8864468864468864,2.2124542124542126,5.0,2.0,3.695970695970696
142,연경동,1.5420792079207921,1.24009900990099,0.2103960396039604,3.257425742574257,1.0074257425742574,4.673267326732673,2.7475247524752477,3.26980198019802
143,연호동,3.2193548387096773,1.0193548387096774,0.07741935483870968,3.193548387096774,2.47741935483871,5.0,2.0,4.6
144,옥포읍,3.1746302616609783,1.0563139931740615,0.060580204778156996,4.133390216154721,2.316268486916951,4.940557451649602,2.1100682593856654,3.907849829351536
145,완전동,3.3958333333333335,1.0416666666666667,0.22916666666666666,3.2083333333333335,1.3125,5.0,1.0,2.3333333333333335
146,용계동,3.1940677966101694,1.097457627118644,0.17627118644067796,3.3389830508474576,2.2101694915254235,4.938135593220339,2.0016949152542374,3.8228813559322035
147,용덕동,3.7906976744186047,1.0465116279069768,0.23255813953488372,4.930232558139535,1.558139534883721,5.0,1.0,1.930232558139535
148,용산동,3.0686977299880525,1.2616487455197132,0.26105137395459976,2.5698924731182795,1.507168458781362,4.8267622461170845,1.57168458781362,2.7216248506571086
149,용수동,3.292490118577075,0.9920948616600791,0.24110671936758893,4.1936758893280635,2.3201581027667983,5.0,2.33596837944664,4.644268774703558
150,우보면,3.413606911447084,0.9994600431965442,0.0026997840172786176,3.447084233261339,3.2926565874730023,5.0,3.2953563714902807,4.461663066954643
151,욱수동,2.5742574257425743,1.301980198019802,0.22772277227722773,3.8118811881188117,1.193069306930693,4.821782178217822,1.9306930693069306,3.707920792079208
152,원대동1가,3.995114006514658,1.0912052117263844,0.1449511400651466,3.263843648208469,2.729641693811075,5.0,1.0,2.403908794788274
153,원대동2가,4.010989010989011,1.0769230769230769,0.15384615384615385,3.4615384615384617,2.5494505494505493,4.9945054945054945,1.0,1.9835164835164836
154,원대동3가,3.99406528189911,1.0672601384767557,0.09891196834817013,2.7705242334322455,2.462908011869436,4.966369930761622,1.0,2.158259149357072
155,월성동,2.493840985442329,1.6002239641657334,0.3661814109742441,4.471444568868981,1.0089585666293392,4.748040313549832,1.6898096304591266,3.4837625979843225
156,월암동,3.0262605042016806,1.0084033613445378,0.1869747899159664,7.332983193277311,1.6428571428571428,4.996848739495798,1.4359243697478992,3.5493697478991595
157,유가읍,2.547169811320755,1.1342525399129173,0.0965166908563135,3.9034833091436867,2.2296806966618288,4.886066763425254,2.3254716981132075,3.8022496371552976
158,유천동,2.3333333333333335,1.690909090909091,0.24848484848484848,3.3848484848484848,0.9151515151515152,4.575757575757576,1.887878787878788,3.8424242424242423
159,율암동,2.4083769633507854,1.1099476439790577,0.19109947643979058,5.112565445026178,1.5,4.829842931937173,1.7539267015706805,3.413612565445026
160,율하동,2.8768817204301076,1.1779569892473118,0.22849462365591397,2.5188172043010755,1.493010752688172,4.936021505376344,2.0016129032258063,2.6559139784946235
161,읍내동,3.221090473337328,1.1288196524865188,0.2127022168963451,2.952666267225884,1.8502097064110246,4.95026962252846,1.2372678250449372,3.061114439784302
162,의흥면,3.354795137325529,0.9995497523638001,0.00495272399819901,3.7014858171994596,3.281404772624944,4.998199009455201,2.2026114362899594,4.24808644754615
163,이곡동,3.1058475203552924,1.2805329385640267,0.3464100666173205,3.396743153219837,1.2109548482605477,4.870466321243524,1.3560325684678016,2.7461139896373057
164,이천동,3.8206245461147423,1.1060275962236747,0.16194625998547568,2.9753086419753085,2.6485112563543938,4.94553376906318,1.0922294843863471,2.429193899782135
165,이현동,2.9566787003610107,1.0108303249097472,0.1444043321299639,6.888086642599278,1.5830324909747293,4.997292418772563,1.325812274368231,2.8176895306859207
166,인교동,4.300492610837439,1.0443349753694582,0.17733990147783252,4.295566502463054,2.7783251231527095,5.0,1.0,1.9852216748768472
167,입석동,3.9284940411700977,1.0552546045503792,0.14842903575297942,2.799566630552546,2.6988082340195017,5.0,1.0043336944745396,2.7833152762730227
168,장관동,3.9285714285714284,1.1666666666666667,0.35714285714285715,4.095238095238095,2.0952380952380953,5.0,1.0,1.5952380952380953
169,장기동,2.963888888888889,1.1712962962962963,0.1712962962962963,3.65,1.5194444444444444,4.909259259259259,1.761111111111111,3.0675925925925926
170,장동,2.7774294670846396,1.0094043887147335,0.14890282131661442,6.910658307210031,1.5830721003134796,4.998432601880878,1.738244514106583,2.653605015673981
171,전동,4.379310344827586,1.1379310344827587,0.3103448275862069,4.896551724137931,2.1724137931034484,5.0,1.0,2.0689655172413794
172,조야동,3.5875,1.009375,0.1125,3.61875,2.634375,5.0,2.0,3.425
173,종로1가,4.04,1.1333333333333333,0.32,4.986666666666666,2.013333333333333,4.986666666666666,1.0,1.9866666666666666
174,종로2가,3.986666666666667,1.0533333333333332,0.22666666666666666,5.053333333333334,2.2533333333333334,5.0,1.0,1.6933333333333334
175,죽전동,3.4838112858464383,1.087881591119334,0.21554116558741906,2.9454209065679926,2.3311748381128585,4.960222016651249,1.0,2.45790934320074
