Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
89180,대구광역시 달성군 논공읍 남리 224-81번지,1,0,0.0,벽돌구조,세멘벽돌조,단독주택,0,1983,35.730291832819,128.438090366418
89181,대구광역시 달성군 논공읍 남리 224-81번지,1,0,3.5,기타강구조,기타강구조(판넬조),제1종근린생활시설,0,2005,35.730291832819,128.438090366418
89182,대구광역시 달성군 논공읍 남리 224-81번지,1,0,0.0,블록구조,세멘벽돌조,단독주택,0,1983,35.730291832819,128.438090366418
89183,대구광역시 달성군 논공읍 남리 224-84번지,4,0,11.6,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7274321716143,128.437149827286
89184,대구광역시 달성군 논공읍 남리 224-85번지,4,0,12.7,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7274616308663,128.437286405672
89185,대구광역시 달성군 논공읍 남리 224-86번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1991,35.7274915444164,128.437422660763
89186,대구광역시 달성군 논공읍 남리 224-87번지,1,0,5.0,철근콘크리트구조,철근콘크리트조,단독주택,0,1996,35.7275214723331,128.437557700499
89187,대구광역시 달성군 논공읍 남리 224-88번지,2,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1991,35.7275528631162,128.43769851363
89188,대구광역시 달성군 논공읍 남리 224-89번지,3,0,0.0,철근콘크리트구조,철근콘크리트조,제1종근린생활시설,0,1991,35.7275853111496,128.437841335222
89189,대구광역시 달성군 논공읍 남리 224-90번지,4,0,13.0,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7274438501629,128.437899578009
89190,대구광역시 달성군 논공읍 남리 224-91번지,1,0,0.0,벽돌구조,벽돌조,제1종근린생활시설,0,1988,35.7273987846739,128.437764376721
89191,대구광역시 달성군 논공읍 남리 224-93번지,1,0,3.6,경량철골구조,경량철골구조,자동차관련시설,0,2008,35.7273387242124,128.437473737405
89192,대구광역시 달성군 논공읍 남리 224-94번지,1,0,3.7,경량철골구조,경량철골구조,제2종근린생활시설,0,2003,35.7273092780379,128.43732853892
89193,대구광역시 달성군 논공읍 남리 224-94번지,1,0,3.2,경량철골구조,경량철골구조,위험물저장및처리시설,0,2003,35.7273092780379,128.43732853892
89194,대구광역시 달성군 논공읍 남리 224-95번지,2,0,10.3,일반철골구조,일반철골구조,제1종근린생활시설,0,2014,35.727278995373,128.437177910084
89195,대구광역시 달성군 논공읍 남리 224-96번지,3,1,0.0,철근콘크리트구조,철근콘크리트조,숙박시설,0,1988,35.727252591351,128.437011878391
89196,대구광역시 달성군 논공읍 남리 224-97번지,4,0,0.0,철근콘크리트구조,철근콘크리트,공동주택,0,1991,35.7276737908887,128.438219686498
89197,대구광역시 달성군 논공읍 남리 224-98번지,3,0,0.0,벽돌구조,시멘벽돌조,공동주택,0,1990,35.7277085372715,128.43836619698
89198,대구광역시 달성군 논공읍 남리 224-99번지,2,0,4.2,벽돌구조,시멘트벽돌조,단독주택,0,1987,35.7277418973791,128.438508040836
